Advaita Mallabarmana|అద్వైత మల్లబరమణ
Aghore Nath Gupta|అఘోరి నాథ్ గుప్తా
Akshay Chandra Sarkar|అక్షయ్ చంద్ర సర్కార్
Ali Adil Shah|అలీ ఆదిల్ షా
Alia Bhatt|ఆలియా భట్
Alimineti Madhava Reddy|ఎలిమినేటి మాధవ రెడ్డి
Alimuddin|అలీముద్దీన్
Allu Rama Lingaiah|అల్లు రామలింగయ్య
Alyque Padamsee|ఆల్కే పదంసీ
Amin Kamil|అమీన్ కామిల్
Amit Prakash Sharma|అమిత్ ప్రకాశ్ శర్మ
Amritlal Nagar|అమ్రిత్లాల్ నాగర్
