Vincent Pala|विन्सेंट पाला
Vishnu Deo Sai|विष्णु देव साई
Kanharpadharma|कन्दर्पवर्मन्
Wolfgang Palm|वुल्फगांग पल
Saṃghavarman|सँघवर्मन्
Jaya Indravarman VI|जय इन्द्रवर्मन् १०
|पृथिवीन्द्रवर्मन्
Mahesh Elkunchwar|महेश् यल्कुण्च्वर्
Vijaya|यंपुकु विजय श्री
Sujatha Singh|सुजाता सिङ्ग्
Kanhopatra|कान्होपात्रा
Urjit Patel|उर्जित पटेल
Meenakshi Lekhi|मीनाक्षी लेखी
Sarla Behn|सरलाबेन
Surinderjeet Singh Ahluwalia|एस॰एस॰ अहलूवालिया
Prabhākara|प्रभाकरः
|योहान वोल्फ़गांक वॉन गोटे
Hukmdev Narayan Yadav|हुकुमदेव नारायण यादव
Dina Vakil|दीना वकील
Bahadur Singh Koli|बहादुर सिंह कोली
Subhash Chandra Baheria|सुभाष बहेड़िया
Kaushalendra Kumar|कौशलेन्द्र कुमार
Heera Saraniya|नाबा कुमार सरणिया (हीरा)
Maheish Girri|महेश गिरी
Raghav Lakhanpal|राघव लखनपाल
Bharti Shiyal|भारती शियाल
Devji M Patel|देवजी पटेल
Rajesh Chudasama|राजेश चुडासमा
Dhananjay Mahadik|धनंजय महादिक
Poonamben Madam|पूनमबेन मादाम
Mahant Chand Nath|महंत चांदनाथ
Ashok Nete|अशोक महादेवराव नेते
Nanabhau Patole|नानाभाऊ पटोले
Niranjan Jyoti|निरंजन ज्योति
Sanjaykaka Patil|संजयकाका पाटिल
Naipal Singh|नेपाल सिंह
Janardan Singh Sigriwal|जनार्दन सिंह सिग्रीवाल
Azmeera Seetaram Naik|अज़मीरा सीताराम नायक
Fatepara Devajibhai Govindbhai|देवजीभाई गोविंदभाई फतेपारा
Kamakhya Prasad Tasa|कामाख्या प्रसाद तासा
Krishan Pal|कृष्ण पाल
Pandula Ravindra Babu|पंदुल रविन्द्र बाबू
Ram Kumar Sharma|राम कुमार शर्मा
Ramesh Chander|रमेश चन्द्र
Renuka Sinha|रेणुका सिन्हा
Sunil Kumar Mandal|सुनील कुमार मंडल
Thota Narasimham|तोटा नरसिम्हम
Ajay Kumar Mishra|अजय कुमार
Ashok Kumar Doharey|अशोक कुमार दोहरे
Bhagwanth Khuba|भगवंत खुबा
Hari Om Pandey|हरिओम पाण्डेय
Krishna Pratap|कृष्ण प्रताप
Mahendra Nath Pandey|महेन्द्र नाथ पाण्डेय
Sakshi Maharaj|स्वामी सच्चिदानंद हरि साक्षी
B B Patil|बी॰बी॰ पाटिल
David Joyner|David Joyner
Sadashiv Lokhande|सदाशिव लोखंडे
Maganti Venkateswara Rao|मागण्टि वेंकटेश्वर राव
Sathyabama V|वी॰ सत्यभामा
Gopalakrishnan Chinnaraj|सी॰ गोपालकृष्णन
Muddahanumegowda S. P.|मुदाहानुमेगौडा एस॰पी॰
T. Radhakrishnan|टी॰ राधाकृष्णन
S. R. Vijayakumar|एस॰आर॰ विजयकुमार
Devendra Singh|देवेन्द्र सिंह
Gunadhya|गुणाढ्यः
|Kapalapa
|Acinta
Jan Pawlowski|Jan Pawlowski
Lionel Cavin|Lionel Cavin
Jean-Philippe Anstett|Jean-Philippe Anstett
Francisco Alonso Martos|Francisco Alonso Martos
Jesús Martínez Verón|Jesús Martínez Verón
Joaquín de la Concha Alcalde|Joaquín de la Concha Alcalde
Felipe Medina Benjumea|Felipe Medina Benjumea
Leela Row|लीला राव
Konstantina Sintzaniki|Konstantina Syntzanaki
Sadanandayati|सदानन्दयतिः
V. Seetharamaiah|वि सीतारामय्य
Gjergj Zefi|Gjergj Zefi
Linus Kvist|Linus Kvist
Erki Laanemäe|Erki Laanemäe
Ingram Cuff|Ingram Cuff
Nikita Stenkovoy|Nikita Stenkovoy
Maria Ögn Gudmundsdottir|Maria Ögn Gudmundsdottir
Cornelia Cyrus|Cornelia Cyrus
Ioulia Eremeeva|Ioulia Eremeeva
Julia Bradley|Julia Bradley
Simona Wagnerova|Simona Wagnerova
Sara Savino|Sara Savino
Florian Auer|Florian Auer
Emīls Cipulis|Emīls Cipulis
Marián Skupek|Marián Skupek
Adam Dobeš|Adam Dobeš
Mara Morell|Mara Morell
Dylan Sorensen|Dylan Sorensen
