Kadambari Jethwani|કાદમ્બરી જેઠવાણી
Anwer Sultan|અન્વર સુલતાન
Anil Bokil|અનિલ Bokil
Shyam Sadhu|શ્યામ સાધુ
Manuel Martínez Chumillas|Manuel Martínez Chumillas
Giribala Mohanty|ગિરિબાલા મોહંતી
Ángel Cadarso del Pueyo|Ángel Cadarso del Pueyo
Vennu Mallesh|વેન્નુ મલેશ
Rami Rahim|રામી રહીમ
Shunya Palanpuri|શૂન્ય પાલનપુરી
|અતુલ પુરોહિત
Pranlal Vyas|પ્રાણલાલ વ્યાસ
Anjana Singh|અંજાન સિંહ
Kishorsingh Solanki|કિશોરસિંહ સોલંકી
Lalremsiami|Lalremsiami
Nysa Devgan|ન્યસા દેવગણ
Sahil Khattar|સાહિલ ખટ્ટર
Pravin Joshi|પ્રવીણ જોષી
Orso Orsini|Orso Orsini
Abhinandan Varthaman|અભિનંદન વર્ધમાન
RJ Vigneshkanth|આરજે વિગ્નેશકાંઠ
Mansukhram Tripathi|મનસુખરામ ત્રિપાઠી
Kuldip Patel|કુલદીપ પટેલ
Vaju Kotak|વજુ કોટક
Fanny Vaucher|Fanny Vaucher
Harihar Khambholja|હરિહર ખાંભોળજા
A. N. Jani|અ. ન. જાની
Kate Sayer|Kate Sayer
Shankarlal Parikh|શંકરલાલ પરીખ
Hargovinddas Kantawala|સર્જક:હરગોવિંદદાસ દ્વારકાદાસ કાંટાવાળા
Matubhai Kantawala|મટુભાઈ કાંટાવાળા
Anna Kulikova|Anna Kulikova
Urmi Parikh|ઊર્મિ પરીખ
Jean-Pierre Lloyd|Jean-Pierre Lloyd
Areke Hassink|Areke Hassink
Paula Fedirchuk|Paula Fedirchuk
Claudia Migliorini|Claudia Migliorini
Sylvia Debboudt|Sylvia Debboudt
Miranda De Permentier|Miranda De Permentier
Aurélie Anaise|Aurélie Anaise
Gulnara Fatkullina|Gulnara Fatkullina
Kanji Bhuta Barot|કાનજી ભુટા બારોટ
Jahangir Edalji Sanjana|જહાંગીર એદલજી સંજાણા
Mirza Nikolajev|Mirza Nikolajev
Elīna Ieva Vītola|Elīna Ieva Vītola
Kyle Murray|Kyle Murray
