Serena Grandi|سیرینا گراندی
Kimberly Kane|کمبرلی کین
Adrenalynn|ادریانا لین
Al-Mu'azzam Isa|المعظم عیسی شرف الدین
Az-Zahir Ghazi|الظاہر غازی
Taylor Cole|ٹیلر کول
Malaika Arora|ملائکہ اڑورا
Delta Burke|ڈیلٹا برک
Al-Qa'im|حمزہ القائم بامر اللہ
Al-Mustakfi|عبد اللہ المستکفی باللہ
Al-Mustadi|المستضی بامر اللہ
Al-Muqaddasi|شمس الدین مقدسی
Richard Arkwright|رچرڈ آرک رائٹ
Shafiq Ahmad|مسٹر شفیق احمد
Myron Scholes|میرون سکولز
H. Robert Horvitz|ایچ رابرٹ ہروٹز
Tunku Abdul Rahman|تونکو عبدالرحمان
Kenneth mac Alpin|کینتھ مک ایلپن
Umar II|عمر بن عبدالعزیز
Sokollu Mehmed Pasha|صوقلو محمد پاشا
Abu al-Wafa Buzjani|ابو الوفا البوزجانی
George Habash|جارج حبش
Vannevar Bush|وین ایور بش
William Tubman|ولیم ٹب مین
Bahram III|بہرام سوم
Áed mac Cináeda|اد
Abdel Aziz al-Rantissi|عبد العزیز رنتیسی
Abd al-Halim Hafiz|عبد الحلیم حافظ
Abdoulay Konko|عبداللہ کونکو
Abdul Basit 'Abd us-Samad|قاری عبد الباسط
Michael Cera|مائیکل سیرا
Papiss Cissé|پاپیس سیسی
Niels Kaj Jerne|نیل کاج جرنی
Shapur III|شاپور سوم
George H. Hitchings|جارج ایچ ہائیچنگ
James S. Sherman|جیمز ایس شرمین
Pedro I of Castile|Peter of Castile
Abu al-Qasim al-Zahrawi|ابو القاسم الزہراوی
Crispus|کریسپوس
Adlai Stevenson II|ایڈلی اسٹیونسن دوم
Donnie Yen|ڈونی ین
Samuel Butler|سیموئیل بٹلر
Mirza Ghulam Ahmad|مرزا غلام احمد
Publius Sulpicius Quirinius|کورنیس
Bernard-Henri Lévy|برنرڈ-ہنری لیوی
Sheikh Muszaphar Shukor|شیخ مظفر شکور
Leslie Groves|لیزلی گرووز
Mirza Fatali Akhundov|میرزا فتح علی آخوندزادہ
Ali al-Hadi|علی نقی
Urukagina|اوروکاجینا
Abdul Ghani Baradar|عبدالغنی برادر
Abdul Rahman of Negeri Sembilan|عبد الرحمن ابن محمد
Rahman Baba|رحمان بابا
Abdul Rashid Ghazi|مولانا عبدالرشید غازی
Ali Shariati|علی شریعتی
Bimbisara|بمبیسار
Fakhruddin Ali Ahmed|فخرالدین علی احمد
Ibn Hazm|ابن حزم اندلسی
Michael Dukakis|مائیکل ڈوکاکس
Hillel the Elder|ہلل
Sri Chinmoy|سری چنومای
Jamsetji Tata|جمسیٹ جی ٹاٹا
Abhimanyu|ابھیمنیو
Mohammad Khan Qajar|محمد خان قاجار
Islam Feruz|اسلام فیروز
Norton Simon|نارٹن سائمن
Taha Hussein|طہ حسین
Mary Kom|میری کوم
Fabio Ochoa Vásquez|فابیو اوچوا واسکیز
Al-Damiri|کمال الدین الدمیری
Shruti Haasan|شروتی ہاسن
Adeodatus|ایڈیوڈیٹس
John Buchan|جان بکن
Peter Benchley|پیٹر بینچلے
Ibrahim Babangida|ابراہیم بابانگیدا
Edward Wood, 1st Earl of Halifax|ایڈورڈ فریڈرک لنڈلے ووڈ
Nazrul Islam|قاضی نذر الاسلام
Edmund Allenby, 1st Viscount Allenby|لارڈ ایلن بی
George Eden, 1st Earl of Auckland|جارج ایڈن
Abu Sufyan ibn Harb|ابو سفیان بن حرب
Al-Mu'izz li-Din Allah|معز الدين الله
Rufus Isaacs, 1st Marquess of Reading|روفس آئزکس
Francis Collins|فرانسس کولنز
Henry Petty-Fitzmaurice, 5th Marquess of Lansdowne|لینس ڈاؤن
Mandakini|منداکنی (اداکارہ)
Muiz ud din Bahram|معز الدین بہرام شاہ
Ahmad Sanjar|احمد سنجر
Idris Elba|ادریس ایلبا
Leopold I, Margrave of Austria|لیوپولد اول مجاری
Bengt Holmström|بنگٹ ہومسٹروم
Adem Jashari|آدم جیشری
Robert Bloch|رابرٹ بلوک
Muhammad I of Córdoba|محمد بن عبد الرحمان اوسط
Kit Harington|کٹ ہرنگٹن
Samuel Pierpont Langley|سیموئیل لینگلی
Adnan Khashoggi|عدنان خشوگی
Adnan Khairallah|عدنان خیر اللہ
David Walliams|ڈیوڈ ولیمز
Marek Grechuta|مارک گرسته
Knut Wicksell|Knut Wicksell
Fethi Okyar|علی فتحی اوکیار
Ibn Hawqal|ابن حوقل
William II of Sicily|ویلم دوم شاہ صقلیہ
Rahimuddin Khan|رحیم الدین خان
Ronald Noble|رونالڈ نوبل
Ignác Goldziher|ایگناز گولڈزیہر
Warren Zevon|کارلو پاسکل
Léon Gaumont|لیون گوموں
Ajatasatru|اجاتشترو
Ibn Khordadbeh|ابن خردادبہ
Motilal Nehru|موتی لال نہرو
Ahad Ha'am|احد ہعام
Shahid Afridi|شاہد آفریدی
Chuck Schumer|چک شومر
Faiz Ahmad Faiz|فیض احمد فیض
Arturo Gatti|آرٹرو گیٹی
Samoa Joe|سمووا جو
Mangal Pandey|منگل پانڈے
Tanner Mayes|ٹینر مائیز
Matilda of Flanders|فلنڈرز کی میٹلڈا
Shah Waliullah|شاہ ولی اللہ محدث دہلوی
Ahmad Khomeini|احمد خمینی
Ahmed Shawqi|احمد شوقی
Mulai Ahmed er Raisuni|الریسونی
Akshaye Khanna|اکشے کھنہ
Abdullah ibn Masud|عبد اللہ بن مسعود
`Abd Allah ibn `Abbas|عبد اللہ بن عباس
Al-Azraqi|ابو الولید الازرقی
David Samuel Margoliouth|ڈیوڈ مارگولیوتھ
Lara Roxx|لارا راکس
Catherine Booth|کیتھرین بوتھ
David Karp|ڈیوڈ کارپ
Oliver Hart|اولیور ہارٹ
Sonia Baby|سونیا بیبی
Soha Ali Khan|سوہا علی خان
Lisa Ann Walter|لیزا این والٹر
Julie Condra|جولی کونڈرا
Idris I of Morocco|ادریس اول
Brooke Ballentyne|بروک بیلینٹائن
Leila Ahmed|لیلی احمد
Mona Mahmudnizhad|مونا محمود نژاد
